 Mulai Proses ------------------------------ 2023-08-16 11:57:13
Err 	 goods_receive 	 no : 	 4900001102 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001102-I2322' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001103 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001103-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001104 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001104-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001105 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001105-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001106 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001106-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001107 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001107-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001108 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001108-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001109 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001109-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001110 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001110-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001111 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001112 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001112-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001113 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001113-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001114 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001114-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001115 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001115-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001116 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001116-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001117 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001117-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001118 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001118-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001119 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001119-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001120 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001120-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001121 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001121-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001122 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001122-T3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001123 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001123-T3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001124 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001127 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001127-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001130 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001131 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001131-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001132 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001132-T3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001133 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001134 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001134-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001135 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001135-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001136 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001136-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001137 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001137-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001138 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001138-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001139 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001139-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001140 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001140-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001141 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001141-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001142 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001142-I3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001143 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001143-I3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001144 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001144-I3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001145 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001145-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001146 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001146-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001147 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001147-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001148 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001148-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001149 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001149-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001150 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001150-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001151 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001151-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001152 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001152-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001153 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001153-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001154 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001155 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001156 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001156-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001157 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001157-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001158 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001158-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001159 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001160 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001161 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001161-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001162 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001163 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001163-C2022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001164 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001164-C2022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001165 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001166 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001166-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001169 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001169-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001170 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001170-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001171 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001171-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001172 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001172-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001173 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001173-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001174 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001174-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001175 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001175-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001176 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001176-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001177 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001177-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001178 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001178-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001179 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001179-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001180 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001180-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001181 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001181-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001182 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001182-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001183 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001183-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001184 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001184-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001185 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001185-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001186 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001186-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001187 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001187-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001188 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001188-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001189 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001189-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001190 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001190-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001191 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001191-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001192 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001192-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001193 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001193-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001194 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001194-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001195 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001195-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001196 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001196-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001197 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001197-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001198 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001198-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001199 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001199-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001200 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001200-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001201 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001201-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001202 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001202-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001203 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001203-P0832' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001204 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001204-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001205 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001205-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001206 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001206-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001207 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001207-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001208 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001208-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001209 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001209-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001210 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001210-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001211 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001211-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001212 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001212-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001216 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001216-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001217 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001217-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001218 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001218-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001219 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001219-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001220 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001220-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001221 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001221-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001222 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001222-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001223 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001223-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001224 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001224-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001225 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001225-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001226 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001226-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001227 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001227-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001228 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001228-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001229 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001229-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001230 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001230-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001231 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001231-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001232 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001232-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001233 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001233-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001234 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001234-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001235 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001235-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001236 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001236-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001237 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001237-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001238 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001238-' for key 'Index 3'
